1618977 (original)
1491645.6 (filtrada)
1451230 (original)
1462148.9 (filtrada)
1370286 (original)
1475505.2 (filtrada)
1292096 (original)
1493940.0 (filtrada)
1331203 (original)
1496801.9 (filtrada)
1548289 (original)
1508360.7 (filtrada)
1688546 (original)
1478120.5 (filtrada)
1786800 (original)
1444008.7 (filtrada)
1498560 (original)
1414703.0 (filtrada)
1330469 (original)
1426218.3 (filtrada)
1324010 (original)
1450871.4 (filtrada)
1584793 (original)
1455621.6 (filtrada)
1554634 (original)
1431164.3 (filtrada)
1320715 (original)
1414604.3 (filtrada)
1446791 (original)
1442050.0 (filtrada)
1245887 (original)
1468685.8 (filtrada)
1347428 (original)
1483336.1 (filtrada)
1493743 (original)
1496533.1 (filtrada)
1613713 (original)
1479867.7 (filtrada)
1577000 (original)
1465043.4 (filtrada)
1371512 (original)
1459843.1 (filtrada)
1340220 (original)
1482588.7 (filtrada)
